Image,Name,Status,Disease Name
augimg/Maple___powdery_mildew/xpowdery-mildew-maple-leaf-pathogenic-fungi-phytopathology-plant-diseases-powdery-mildew-maple-leaf-white-spots-powdery-192964372.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 25.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xmaplepowderymildewfirstscans009.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xmildewonbigleafmaplescloseup.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 26.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zstock-photo-powdery-mildew-on-leaf-of-norway-maple-maple-tree-fungal-disease-1184904139.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 5.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 29.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 13.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 8.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 12.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 4.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 5.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 1.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/ydownload.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 4.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 26.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 13.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 29.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 5.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 6.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 2.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 20.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 19.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-20170928a-city-of-toronto.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zmildewonbigleafmaplescloseup.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/z360_F_171034681_LW81Dq0Xl8l2nMS9HsEdbtK7jROB9M3K.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 26.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 18.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 26.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cpowdery-mildew-maple-leaf-pathogenic-fungi-phytopathology-plant-diseases-powdery-mildew-maple-leaf-white-spots-powdery-192964372.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/a20170928a-city-of-toronto.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 26.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/d2110087.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-360_F_223449477_yJ5ILOPoB7OyoJkmolcz9PwZUjeGNNkB.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 14.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/x160_F_223718133_TbMw2xnxhD8uv58JGHP83SLQh0gMOqUi.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 28.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/c360_F_223449477_yJ5ILOPoB7OyoJkmolcz9PwZUjeGNNkB.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 17.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 23.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/d360_F_171034681_LW81Dq0Xl8l2nMS9HsEdbtK7jROB9M3K.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/apowdery-mildew-maple-leaf-pathogenic-fungi-phytopathology-plant-diseases-powdery-mildew-maple-leaf-white-spots-powdery-192964372.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 2.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 29.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/a360_F_171034681_LW81Dq0Xl8l2nMS9HsEdbtK7jROB9M3K.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 12.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 17.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/x360_F_223449477_yJ5ILOPoB7OyoJkmolcz9PwZUjeGNNkB.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 21.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 13.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 23.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/c160_F_223718133_TbMw2xnxhD8uv58JGHP83SLQh0gMOqUi.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/amildewonbigleafmaplescloseup.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bimages.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-images.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-360_F_171034681_LW81Dq0Xl8l2nMS9HsEdbtK7jROB9M3K.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xdownload.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 5.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/y360_F_171034681_LW81Dq0Xl8l2nMS9HsEdbtK7jROB9M3K.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 8.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 4.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cstock-photo-powdery-mildew-on-leaf-of-norway-maple-maple-tree-fungal-disease-1184904139.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bdownload.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 13.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 2.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 1.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/x20170928a-city-of-toronto.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 3.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/distockphoto-1335217312-612x612.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 17.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 20.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 23.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 10.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/b2110087.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/d20170928a-city-of-toronto.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 9.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 26.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/c20170928a-city-of-toronto.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 5.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 11.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bmildewonbigleafmaplescloseup.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 28.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 10.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 19.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 21.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 13.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 14.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 15.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 6.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 25.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 26.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 9.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 1.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yistockphoto-1335217312-612x612.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 15.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 25.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/z360_F_223449477_yJ5ILOPoB7OyoJkmolcz9PwZUjeGNNkB.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 14.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 16.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 12.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 6.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 18.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 7.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 7.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 16.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 9.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 27.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 1.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/y2110087.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 16.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 3.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bmaplepowderymildewfirstscans009.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 24.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 4.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 12.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 10.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xstock-photo-powdery-mildew-on-leaf-of-norway-maple-maple-tree-fungal-disease-1184904139.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 24.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 23.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 24.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 27.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 18.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 18.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 24.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-2110087.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 14.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 9.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 9.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 25.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 18.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 22.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 23.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 2.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 28.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/ymildewonbigleafmaplescloseup.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 15.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 16.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 4.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-160_F_223718133_TbMw2xnxhD8uv58JGHP83SLQh0gMOqUi.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 11.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 20.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 20.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 8.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 21.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 5.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dmildewonbigleafmaplescloseup.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 17.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 4.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 15.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dmaplepowderymildewfirstscans009.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/b20170928a-city-of-toronto.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 5.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 1.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 9.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 8.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/x2110087.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 17.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/y20170928a-city-of-toronto.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 19.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/ystock-photo-powdery-mildew-on-leaf-of-norway-maple-maple-tree-fungal-disease-1184904139.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 10.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 9.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 10.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/b360_F_171034681_LW81Dq0Xl8l2nMS9HsEdbtK7jROB9M3K.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 12.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/ypowdery-mildew-maple-leaf-pathogenic-fungi-phytopathology-plant-diseases-powdery-mildew-maple-leaf-white-spots-powdery-192964372.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 3.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 9.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 8.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/a2110087.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 24.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 18.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-download.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 17.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 21.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 29.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 6.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/c2110087.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 11.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 19.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zpowdery-mildew-maple-leaf-pathogenic-fungi-phytopathology-plant-diseases-powdery-mildew-maple-leaf-white-spots-powdery-192964372.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/y160_F_223718133_TbMw2xnxhD8uv58JGHP83SLQh0gMOqUi.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 11.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 7.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 14.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 22.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/y360_F_223449477_yJ5ILOPoB7OyoJkmolcz9PwZUjeGNNkB.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 17.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 14.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 19.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-stock-photo-powdery-mildew-on-leaf-of-norway-maple-maple-tree-fungal-disease-1184904139.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/x360_F_171034681_LW81Dq0Xl8l2nMS9HsEdbtK7jROB9M3K.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 25.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 10.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/b360_F_223449477_yJ5ILOPoB7OyoJkmolcz9PwZUjeGNNkB.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 29.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aistockphoto-1335217312-612x612.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 20.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 16.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 25.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 6.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 11.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bpowdery-mildew-maple-leaf-pathogenic-fungi-phytopathology-plant-diseases-powdery-mildew-maple-leaf-white-spots-powdery-192964372.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yimages.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 3.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 23.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 7.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 22.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/ymaplepowderymildewfirstscans009.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 21.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/bCapture.PNG 6.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 16.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 3.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 15.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 15.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/aCapture.PNG 27.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cmaplepowderymildewfirstscans009.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 4.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 13.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/orgi-Capture.PNG 15.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/yCapture.PNG 13.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cCapture.PNG 23.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/c360_F_171034681_LW81Dq0Xl8l2nMS9HsEdbtK7jROB9M3K.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/dCapture.PNG 12.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/cdownload.jpg,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/xCapture.PNG 27.PNG,Maple,diseased,powdery_mildew
augimg/Maple___powdery_mildew/zCapture.PNG 1.PNG,Maple,diseased,powdery_mildew
